nm, %T
1671.000000, 85.695625
1670.000000, 85.665389
1669.000000, 85.646042
1668.000000, 85.631260
1667.000000, 85.611437
1666.000000, 85.584042
1665.000000, 85.557316
1664.000000, 85.547895
1663.000000, 85.538073
1662.000000, 85.533269
1661.000000, 85.509374
1660.000000, 85.503717
1659.000000, 85.460587
1658.000000, 85.438458
1657.000000, 85.423722
1656.000000, 85.403919
1655.000000, 85.400616
1654.000000, 85.390534
1653.000000, 85.360275
1652.000000, 85.346564
1651.000000, 85.335586
1650.000000, 85.279062
1649.000000, 85.253214
1648.000000, 85.247686
1647.000000, 85.247280
1646.000000, 85.228052
1645.000000, 85.193477
1644.000000, 85.183121
1643.000000, 85.177810
1642.000000, 85.148028
1641.000000, 85.135524
1640.000000, 85.075842
1639.000000, 85.081336
1638.000000, 85.082965
1637.000000, 85.063643
1636.000000, 85.043664
1635.000000, 84.990845
1634.000000, 84.979058
1633.000000, 84.947343
1632.000000, 84.954786
1631.000000, 84.941366
1630.000000, 84.895943
1629.000000, 84.889502
1628.000000, 84.892148
1627.000000, 84.829951
1626.000000, 84.861488
1625.000000, 84.820160
1624.000000, 84.802107
1623.000000, 84.762891
1622.000000, 84.717339
1621.000000, 84.721627
1620.000000, 84.727590
1619.000000, 84.699875
1618.000000, 84.661619
1617.000000, 84.624384
1616.000000, 84.610672
1615.000000, 84.623145
1614.000000, 84.570353
1613.000000, 84.533234
1612.000000, 84.512236
1611.000000, 84.503329
1610.000000, 84.500108
1609.000000, 84.469377
1608.000000, 84.444009
1607.000000, 84.424357
1606.000000, 84.378975
1605.000000, 84.391790
1604.000000, 84.382946
1603.000000, 84.355148
1602.000000, 84.319217
1601.000000, 84.307628
1600.000000, 84.290461
1599.000000, 84.264360
1598.000000, 84.229067
1597.000000, 84.222860
1596.000000, 84.191182
1595.000000, 84.167974
1594.000000, 84.158195
1593.000000, 84.134229
1592.000000, 84.103148
1591.000000, 84.099429
1590.000000, 84.066956
1589.000000, 84.041341
1588.000000, 84.027475
1587.000000, 83.995633
1586.000000, 83.965091
1585.000000, 83.958393
1584.000000, 83.933415
1583.000000, 83.905666
