nm	T	R	A
2030.000000	  88.637569	  11.691864	  -0.329433
2029.000000	  88.634543	  11.698314	  -0.332857
2028.000000	  88.637569	  11.704320	  -0.341889
2027.000000	  88.632553	  11.713610	  -0.346163
2026.000000	  88.633532	  11.716196	  -0.349728
2025.000000	  88.624542	  11.717878	  -0.342420
2024.000000	  88.625683	  11.719406	  -0.345089
2023.000000	  88.623397	  11.724686	  -0.348083
2022.000000	  88.606366	  11.733002	  -0.339368
2021.000000	  88.596395	  11.735523	  -0.331918
2020.000000	  88.609402	  11.740128	  -0.349530
2019.000000	  88.597775	  11.746611	  -0.344386
2018.000000	  88.593582	  11.751237	  -0.344819
2017.000000	  88.594672	  11.751706	  -0.346378
2016.000000	  88.592017	  11.757318	  -0.349335
2015.000000	  88.595831	  11.761163	  -0.356994
2014.000000	  88.590410	  11.769790	  -0.360200
2013.000000	  88.565830	  11.768970	  -0.334800
2012.000000	  88.582484	  11.776644	  -0.359128
2011.000000	  88.572700	  11.776568	  -0.349268
2010.000000	  88.594285	  11.787452	  -0.381737
2009.000000	  88.583657	  11.794989	  -0.378646
2008.000000	  88.571577	  11.795602	  -0.367179
2007.000000	  88.582418	  11.799557	  -0.381975
2006.000000	  88.592944	  11.804494	  -0.397438
2005.000000	  88.582104	  11.813827	  -0.395931
2004.000000	  88.588447	  11.818900	  -0.407347
2003.000000	  88.586077	  11.819223	  -0.405300
2002.000000	  88.570926	  11.818326	  -0.389252
2001.000000	  88.561111	  11.817290	  -0.378401
2000.000000	  88.588542	  11.823670	  -0.412212
1999.000000	  88.601852	  11.828438	  -0.430290
1998.000000	  88.624023	  11.831657	  -0.455680
1997.000000	  88.587159	  11.829943	  -0.417102
1996.000000	  88.602293	  11.831042	  -0.433335
1995.000000	  88.568496	  11.831557	  -0.400053
1994.000000	  88.596518	  11.833209	  -0.429727
1993.000000	  88.600998	  11.831818	  -0.432816
1992.000000	  88.564756	  11.830300	  -0.395056
1991.000000	  88.593972	  11.837921	  -0.431893
1990.000000	  88.621469	  11.842909	  -0.464378
1989.000000	  88.573973	  11.840307	  -0.414280
1988.000000	  88.568131	  11.842995	  -0.411126
1987.000000	  88.586959	  11.846450	  -0.433409
1986.000000	  88.596309	  11.845889	  -0.442198
1985.000000	  88.616043	  11.849122	  -0.465165
1984.000000	  88.591530	  11.846629	  -0.438159
1983.000000	  88.578564	  11.852068	  -0.430632
1982.000000	  88.582929	  11.853833	  -0.436762
1981.000000	  88.579998	  11.857418	  -0.437416
1980.000000	  88.591290	  11.860833	  -0.452123
1979.000000	  88.558408	  11.855842	  -0.414250
1978.000000	  88.570474	  11.858595	  -0.429069
1977.000000	  88.565632	  11.863690	  -0.429322
1976.000000	  88.553971	  11.865021	  -0.418992
1975.000000	  88.583924	  11.868613	  -0.452537
1974.000000	  88.562914	  11.868361	  -0.431275
1973.000000	  88.542164	  11.871053	  -0.413217
1972.000000	  88.551585	  11.872849	  -0.424434
1971.000000	  88.565726	  11.875288	  -0.441014
1970.000000	  88.543289	  11.877688	  -0.420977
1969.000000	  88.528838	  11.881908	  -0.410746
1968.000000	  88.544609	  11.884968	  -0.429577
1967.000000	  88.554033	  11.890499	  -0.444532
1966.000000	  88.554401	  11.897228	  -0.451629
1965.000000	  88.551365	  11.899687	  -0.451052
1964.000000	  88.544830	  11.901566	  -0.446396
1963.000000	  88.548338	  11.902639	  -0.450977
1962.000000	  88.557290	  11.908926	  -0.466216
1961.000000	  88.553172	  11.912677	  -0.465849
1960.000000	  88.540503	  11.913417	  -0.453920
1959.000000	  88.537571	  11.921128	  -0.458699
1958.000000	  88.528661	  11.925102	  -0.453763
1957.000000	  88.521624	  11.924665	  -0.446289
1956.000000	  88.520305	  11.929736	  -0.450041
1955.000000	  88.511583	  11.933840	  -0.445423
1954.000000	  88.512255	  11.934683	  -0.446938
1953.000000	  88.523329	  11.940791	  -0.464120
1952.000000	  88.513536	  11.945197	  -0.458733
1951.000000	  88.506896	  11.945990	  -0.452886
1950.000000	  88.511429	  11.953105	  -0.464534
1949.000000	  88.499304	  11.959230	  -0.458534
1948.000000	  88.511450	  11.962415	  -0.473865
1947.000000	  88.513779	  11.966502	  -0.480281
1946.000000	  88.497174	  11.968564	  -0.465738
1945.000000	  88.497031	  11.972261	  -0.469292
1944.000000	  88.473858	  11.977174	  -0.451032
1943.000000	  88.491614	  11.980963	  -0.472577
1942.000000	  88.508279	  11.988770	  -0.497049
1941.000000	  88.485903	  11.990848	  -0.476751
1940.000000	  88.469671	  11.996546	  -0.466217
1939.000000	  88.455779	  11.998890	  -0.454669
1938.000000	  88.452003	  12.002065	  -0.454068
1937.000000	  88.440643	  12.007181	  -0.447824
1936.000000	  88.419706	  12.008548	  -0.428254
1935.000000	  88.408078	  12.020038	  -0.428116
1934.000000	  88.403186	  12.025158	  -0.428344
1933.000000	  88.401489	  12.030551	  -0.432040
1932.000000	  88.402895	  12.038149	  -0.441044
1931.000000	  88.398676	  12.045516	  -0.444192
1930.000000	  88.371468	  12.050222	  -0.421690
