nm, %R
1914.000000, 12.172782
1913.000000, 12.185519
1912.000000, 12.196358
1911.000000, 12.203898
1910.000000, 12.216901
1909.000000, 12.230732
1908.000000, 12.237832
1907.000000, 12.248632
1906.000000, 12.256690
1905.000000, 12.270721
1904.000000, 12.280727
1903.000000, 12.292471
1902.000000, 12.302821
1901.000000, 12.318425
1900.000000, 12.326433
1899.000000, 12.333445
1898.000000, 12.347170
1897.000000, 12.364426
1896.000000, 12.373405
1895.000000, 12.375102
1894.000000, 12.383162
1893.000000, 12.387199
1892.000000, 12.395076
1891.000000, 12.398068
1890.000000, 12.412900
1889.000000, 12.416768
1888.000000, 12.418477
1887.000000, 12.424742
1886.000000, 12.426386
1885.000000, 12.430595
1884.000000, 12.436812
1883.000000, 12.441174
1882.000000, 12.442307
1881.000000, 12.445153
1880.000000, 12.453930
1879.000000, 12.454771
1878.000000, 12.462551
1877.000000, 12.465920
1876.000000, 12.472375
1875.000000, 12.481937
1874.000000, 12.490298
1873.000000, 12.501489
1872.000000, 12.513939
1871.000000, 12.519019
1870.000000, 12.538533
1869.000000, 12.548865
1868.000000, 12.555552
1867.000000, 12.567013
1866.000000, 12.587252
1865.000000, 12.594410
1864.000000, 12.595996
1863.000000, 12.600378
1862.000000, 12.604080
1861.000000, 12.616971
1860.000000, 12.621998
1859.000000, 12.637433
1858.000000, 12.640883
1857.000000, 12.649048
1856.000000, 12.654481
1855.000000, 12.668909
1854.000000, 12.669658
1853.000000, 12.680391
1852.000000, 12.687796
1851.000000, 12.693205
1850.000000, 12.698511
1849.000000, 12.708615
1848.000000, 12.707969
1847.000000, 12.722268
1846.000000, 12.732396
1845.000000, 12.742308
1844.000000, 12.749922
1843.000000, 12.754180
1842.000000, 12.762406
1841.000000, 12.775277
1840.000000, 12.780737
1839.000000, 12.788747
1838.000000, 12.798018
1837.000000, 12.803409
1836.000000, 12.820616
1835.000000, 12.827532
1834.000000, 12.833669
1833.000000, 12.844728
1832.000000, 12.844291
1831.000000, 12.848817
1830.000000, 12.859370
1829.000000, 12.872711
1828.000000, 12.875822
1827.000000, 12.890277
1826.000000, 12.897442
1825.000000, 12.897889
1824.000000, 12.910778
